Words			Original Roots		Predicted roots
الیکشن		الیکشن			الیکشن
کمشنر		کمشنر			کمشنر
سے		سے			سے
خواہش		خواہش			خواہشہ
کی		کر			کا
کہ		کہ			کہ
وہ		وہ			وہ
ہر		ہر			ہر
حلقہ		حلقہ			حلقہ
اسمبلی		اسمبلی			اسمبلی
مےں		مےں			مےں
علحدہ		علحدہ			علحدہہ
علحدہ		علحدہ			علحدہہ
فورس		فورس			فورس
کی		کا			کا
تعیناتی		تعیناتی			تعیناتی
کو		کو			کو
یقینی		یقینی			یقینیی
بنانے		بنا			بنا
کے		کا			کا
اقدامات		اقدام			اقدام
کریں		کر			کر
تاکہ		تاکہ			تاکہ
آزادانہ		آزادانہ			آزادانہ
و		و			و
منصفانہ		منصفانہ			منصفانہ
انتخابات		انتخاب			انتخاب
کو		کو			کو
یقینی		یقینی			یقینیی
بنایا		بنا			بنا
جا		جا			جا
سکے		سک			سک
۔		۔			۔
واضح		واضح			واضح
رہے		رہ			رہ
کہ		کہ			کہ
گزشتہ		گزشتہ			گزشتہگ
یوم		یوم			یومی
مسٹر		مسٹر			مسٹر
نائیڈو		نائیڈو			نائیڈو
پر		پر			پر
ضلع		ضلع			ضلعل
کڑپہ		کڑپہ			کڑپہی
مےں		مےں			مےں
ہوئے		ہو			ہو
حملہ		حملہ			حملہہ
کے		کے			کا
بعد		بعد			بعد
مسٹر		مسٹر			مسٹر
نائیڈو		نائیڈو			نائیڈو
نے		نے			نے
اس		یہ			یہ
طرح		طرح			طرحر
کے		کا			کا
واقعات		واقعہ			واقع
کا		کا			کا
حوالہ		حوالہ			حوالہ
دیتے		دے			دے
ہوئے		ہو			ہو
کہا		کہہ			کہہ
کہ		کہ			کہ
ضلع		ضلع			ضلعل
کڑپہ		کڑپہ			کڑپہی
مےں		مےں			مےں
گروہ_واری		گروہ_واری			گروہ_واری
عناصر		عنصر			عناصر
انتخابات		انتخاب			انتخاب
مےں		مےں			مےں
دھاندلیوں		دھاندلی			دھاندلی
کی		کا			کا
منصوبہ_بندی		منصوبہ_بندی			منصوبہ_بندی
کر		کر			کر
رہے		رہ			رہ
ہیں		ہے			ہے
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
بتایا		بتا			بتا
کہ		کہ			کہ
جمہوریت		جمہوریت			جمہوریت
کی		کا			کا
بقاء		بقاء			بقاء
کے		کے			کا
لئے		لئے			لئے
یہ		یہ			یہ
ضروری		ضروری			ضروری
ہے		ہے			ہے
کہ		کہ			کہ
چیف		چیف			چیف
الیکشن		الیکشن			الیکشن
کمشنر		کمشنر			کمشنر
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
ان		یہ			یہ
انتخابات		انتخاب			انتخاب
کی		کا			کا
راست		راست			راست
نگرانی		نگرانی			نگرانی
اور		اور			اور
غنڈہ		غنڈہ			غنڈہو
عناصر		عنصر			عناصر
پر		پر			پر
کنٹرول		کنٹرول			کنٹرول
کے		کے			کا
لئے		لئے			لئے
سخت_ترین		سخت_ترین			سخت_ترین
انتظامات		انتظام			انتظام
کئے		کر			کرئ
جائیں		جا			جا
۔		۔			۔
مسٹر		مسٹر			مسٹر
نائیڈو		نائیڈو			نائیڈو
نے		نے			نے
سی		سی			سی
ای		ای			ای
سی		سی			سی
کو		کو			کو
روانہ_کردہ		روانہ_کردہ			روانہ_کردہ
مکتوب		مکتوب			مکتوب
مےں		مےں			مےں
اس		وہ			یہ
بات		بات			بات
کی		کا			کا
طرف		طرف			طرف
بھی		بھی			بھی
اشارہ		اشارہ			اشارہررر
کیا		کر			کر
کہ		کہ			کہ
علاقے		علاقہ			علاقہ
مےں		مےں			مےں
وائی		وائی			وائی
ایس		ایس			ایس
جگن		جگن			جگنو
موہن		موہن			موہنڈڈپپ
ریڈی		ریڈی			ریڈیی
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
بدعنوانیوں		بدعنوانی			بدعنوانی
و		و			و
بےقاعدگیوں		بےقاعدگی			باقاعدگی
کے		کے			کا
ذریعہ		ذریعہ			ذریعہہہہہہہ
حاصل_کردہ		حاصل_کردہ			حاصل_کردہ
دولت		دولت			دولت
کے		کا			کا
استعمال		استعمال			استعمالت
کے		کے			کا
ذریعہ		ذریعہ			ذریعہہہہہہہ
رائےدہندوں		رائےدہندہ			رائیدہند
کو		کو			کو
راغب		راغب			ربغب
کرنے		کر			کر
کی		کا			کا
کوشش		کوشش			کوشششش
کی		کر			کا
جا		جا			جا
رہی		رہ			رہ
ہے		ہے			ہے
جو		جو			جو
کہ		کہ			کہ
انتخابی		انتخابی			انتخابیا
ضابطہ		ضابطہ			ضابطہططط
اخلاق		اخلاق			اخلاقت
کی		کا			کا
سنگین		سنگین			سنگینگگ
خلاف_ورزی		خلاف_ورزی			خلاف_ورزی
ہے		ہے			ہے
-		-			-
اےک		اےک			اےک
شخص		شخص			شخص
نے		نے			نے
مبینہ		مبینہ			مبینہی
طور		طور			طور
پر		پر			پر
اپنی		اپنا			اپنا
منگیتر		منگیتر			منگیتریی
اور		اور			اور
اس		وہ			یہ
کے		کا			کا
والدین		والدین			والدین
پر		پر			پر
چاقو		چاقو			چاقو
سے		سے			سے
حملہ		حملہ			حملہہ
کر		کر			کر
کے		کا			کا
زخمی		زخمی			زخمی
کر		کر			کر
دیا		دے			دے
۔		۔			۔
پولیس		پولیس			پولیس
نے		نے			نے
بتایا		بتا			بتا
کہ		کہ			کہ
نوجوان		نوجوان			نوجوان
لڑکی		لڑکی			لڑکیی
کی		کا			کا
پاک_دامنی		پاک_دامنی			پاک_دامنی
پر		پر			پر
شبہ		شبہ			شبہپپ
کرتے		کر			کر
ہوئے		ہو			ہو
حملہ		حملہ			حملہہ
کیا		کر			کر
۔		۔			۔
ڈی		ڈی			ڈی
بھارت		بھارت			بھارتھ
کرشنا		کرشنا			کرشنا
خانگی		خانگی			خانگی
ملازم		ملازم			ملازم
جو		جو			جو
24		24			24
سالہ		سالہ			سالہ
خاتون		خاتون			خاتون
فروین		فروین			فروین
صنم		صنم			صنم
متعلم		متعلم			متعلمل
ایم		ایم			ایم
کام		کام			کام
سے		سے			سے
عشق		عشق			عشق
کرتا		کر			کر
تھا		تھا			تھا
۔		۔			۔
دونوں		دو			دو
کے		کا			کا
ارکان		رکن			رکن
خاندان		خاندان			خاندان
ان		وہ			یہ
کی		کا			کا
اس		یہ			یہ
سال		سال			سال
فبروری		فبروری			فبروری
مےں		مےں			مےں
منگنی		منگنی			منگنیو
کرنے		کر			کر
کے		کے			کا
بعد		بعد			بعد
شادی		شادی			شادی
سے		سے			سے
اتفاق		اتفاق			اتفاق
کیا		کر			کر
تھا		تھا			تھا
اور		اور			اور
21		21			21
مئی		مئی			مئی
کو		کو			کو
شادی		شادی			شادی
مقرر		مقرر			مقررر
تھی		تھا			تھا
۔		۔			۔
تاہم		تاہم			تاہم
بھارت		بھارت			بھارتھ
کرشنا		کرشنا			کرشنا
کو		کو			کو
اپنی		اپنا			اپنا
منگیتر		منگیتر			منگیتریی
کے		کا			کا
چال		چال			چال
و		و			و
چلن		چلن			چلن
پر		پر			پر
شبہ		شبہ			شبہپپ
ہوا		ہو			ہو
اور		اور			اور
الزام		الزام			الزام
عائد		عائد			عائد
کیا		کر			کر
کہ		کہ			کہ
وہ		وہ			وہ
کسی		کوئی			کوئییییییییییییییی
اور		اور			اور
شخص		شخص			شخص
کے		کے			کا
ساتھ		ساتھ			ساتھ
تعلقات		تعلق			تعلق
رکھتی		رکھ			رکھھ
ہے		ہے			ہے
۔		۔			۔
لڑکی		لڑکی			لڑکیی
کے		کا			کا
گردن		گردن			گردن
اور		اور			اور
ہاتھ		ہاتھ			ہاتھا
پر		پر			پر
شدید		شدید			شدید
زخم		زخم			زخم
آئے		آ			آ
۔		۔			۔
والدین		والدین			والدین
معمولی		معمولی			معمولی
زخمی		زخمی			زخمی
ہوئے		ہو			ہو
ہےں		ہے			ہے
۔		۔			۔
چیف		چیف			چیف
جسٹس		جسٹس			جسٹس
مسٹر		مسٹر			مسٹر
جسٹس		جسٹس			جسٹس
نثار		نثار			نثار
احمد		احمد			احمد
کاکرو		کاکرو			کاکرو
اور		اور			اور
جسٹس		جسٹس			جسٹس
وی		وی			وی
وی		وی			وی
افضل		افضل			افضل
پورکر		پورکر			پورکراہہہہہ
پر		پر			پر
مشتمل		مشتمل			مشتمل
بنچ		بنچ			بنچ
نے		نے			نے
یہ		یہ			یہ
ہدایت		ہدایت			ہدایتت
جاری		جاری			جاری
کی		کر			کا
۔		۔			۔
عدالت		عدالت			عدالتت
کی		کا			کا
ہدایت		ہدایت			ہدایتت
کے		کے			کا
باوجود		باوجود			باوجود
یہاں		یہاں			یہاں
بلدیہ		بلدیہ			بلدیہی
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
سوچے		سوچ			سوچ
سمجھے		سمجھ			سمجھے
منصوبہ		منصوبہ			منصوبہ
کے		کے			کا
تحت		تحت			تحتفففح
مذکورہ		مذکورہ			مذکورہرر
سڑک		سڑک			سڑککک
کی		کا			کا
تعمیر		تعمیر			تعمیر
کا		کا			کا
کام		کام			کام
جاری		جاری			جاری
رکھا		رکھ			رکھ
گیا		جا			جا
تھا		تھا			تھا
۔		۔			۔
رات		رات			رات
مےں		مےں			مےں
بھی		بھی			بھی
تعمیری		تعمیری			تعمیری
کام		کام			کام
جاری		جاری			جاری
رکھا		رکھ			رکھ
گیا		جا			جا
اور		اور			اور
راستہ		راستہ			راستہ
کو		کو			کو
عوام		عوام			عوام
کے		کے			کا
لئے		لئے			لئے
کھولنے		کھول			کھول
کی		کا			کا
کوشش		کوشش			کوشششش
کی		کر			کا
گئی		جا			جا
تھی		تھا			تھا
۔		۔			۔
اس		یہ			یہ
پر		پر			پر
عثمان		عثمان			عثمان
بن		بن			بن
محمد		محمد			محمدد
الہاجری		الہاجری			الہاجری
نے		نے			نے
اےک		اےک			اےک
درخواست		درخواست			درخواست
ہائیکورٹ		ہائیکورٹ			ہائیکورٹ
مےں		مےں			مےں
داخل		داخل			داخل
کرتے		کر			کر
ہوئے		ہو			ہو
استدعا		استدعا			استدعات
کی		کر			کا
تھی		تھا			تھا
کہ		کہ			کہ
مذکورہ		مذکورہ			مذکورہرر
قبرستان		قبرستان			قبرستان
کی		کا			کا
حصاربندی		حصاربندی			حصاردند
کرتے		کر			کر
ہوئے		ہو			ہو
اس		وہ			یہ
کے		کا			کا
تقدس		تقدس			تقدس
کا		کا			کا
تحفظ		تحفظ			تحفظ
کیا		کر			کر
جائے		جا			جا
۔		۔			۔
ڈی		ڈی			ڈی
سی		سی			سی
پی		پی			پی
ساؤتھ		ساؤتھ			ساؤتھ
زون		زون			زون
کی		کا			کا
حیثیت		حیثیت			حیثیت
سے		سے			سے
مسٹر		مسٹر			مسٹر
ونیت		ونیت			ونیت
برج		برج			برج
لال		لال			لال
نے		نے			نے
آج		آج			آج
شام		شام			شام
اپنے		اپنا			اپنا
عہدے		عہدہ			عہدہہ
کا		کا			کا
جائزہ		جائزہ			جائزہئ
حاصل		حاصل			حاصل
کر		کر			کر
لیا		لے			لے
۔		۔			۔
ڈی		ڈی			ڈی
سی		سی			سی
پی		پی			پی
ساؤتھ		ساؤتھ			ساؤتھ
زون		زون			زون
مدھو		مدھو			مدھو
سدھن		سدھن			سدھن
ریڈی		ریڈی			ریڈیی
کی		کا			کا
ترقی		ترقی			ترقی
کے		کے			کا
بعد		بعد			بعد
وہ		وہ			وہ
انچارج		انچارج			انچارج
ڈی		ڈی			ڈی
سی		سی			سی
پی		پی			پی
کی		کا			کا
حیثیت		حیثیت			حیثیت
سے		سے			سے
خدمات		خدمت			خدمت
انجام		انجام			انجام
دے		دے			دے
رہے		رہ			رہ
تھے		تھا			تھا
۔		۔			۔
مسٹر		مسٹر			مسٹر
ونیت		ونیت			ونیت
برج		برج			برج
لال		لال			لال
نے		نے			نے
آج		آج			آج
ان		وہ			یہ
سے		سے			سے
اپنے		اپنا			اپنا
عہدے		عہدہ			عہدہہ
کا		کا			کا
جائزہ		جائزہ			جائزہئ
حاصل		حاصل			حاصل
کر		کر			کر
لیا		لے			لے
۔		۔			۔
ونیت		ونیت			ونیت
برج		برج			برج
لال		لال			لال
وئیزاک		وئیزاک			وئیگاک
رورل		رورل			رورلہ
کے		کا			کا
ایس		ایس			ایس
پی		پی			پی
کی		کا			کا
حیثیت		حیثیت			حیثیت
سے		سے			سے
خدمات		خدمت			خدمت
انجام		انجام			انجام
دے		دے			دے
رہے		رہ			رہ
تھے		تھا			تھا
۔		۔			۔
چینائی		چینائی			چینائی
سوپر		سوپر			سوپر
کنگس		کنگس			کنگسگ
کے		کا			کا
بولرس		بولر			بولرس
نے		نے			نے
آج		آج			آج
بہترین		بہترین			بہترین
مظاہرہ		مظاہرہ			مظاہرہددہ
کرتے		کر			کر
ہوئے		ہو			ہو
دکن		دکن			دکن
چارجرس		چارجرس			چارجرس
کے		کے			کا
خلاف		خلاف			خلاف
19		19			19
رنز		رنز			رنز
سے		سے			سے
کامیابی		کامیابی			کامیابی
یقینی		یقینی			یقینیی
بنائی		بنا			بنا
۔		۔			۔
سوہال		سوہال			سوہال
نے		نے			نے
24		24			24
گیندوں		گیند			گیندو
مےں		مےں			مےں
جاریہ		جاریہ			جاریہہ
سیزن		سیزن			سیزن
کی		کا			کا
تیزترین		تیزترین			تیزترین
نصف		نصف			نصف
سنچری		سنچری			سنچری
بنائی		بنا			بنا
لیکن		لیکن			لیکنی
ان		وہ			یہ
کے		کا			کا
آوٹ		آوٹ			آوٹ
ہونے		ہو			ہو
کے		کے			کا
بعد		بعد			بعد
میچ		میچ			میچ
چینائی		چینائی			چینائی
سوپر		سوپر			سوپر
کنگس		کنگس			کنگسگ
کے		کا			کا
حق		حق			حق
مےں		مےں			مےں
چلا		چلا			چل
گیا		جا			جا
۔		۔			۔
مقررہ		مقررہ			مقررہررہہہہ
20		20			20
اوورس		اوور			اوورس
مےں		مےں			مےں
165		165			195
رنز		رنز			رنز
بنانے		بنا			بنا
کے		کے			کا
بعد		بعد			بعد
ٹیم		ٹیم			ٹیم
نے		نے			نے
حریف		حریف			حریفی
دکن		دکن			دکن
چارجرس		چارجرس			چارجرس
کو		کو			کو
146		146			146
/		/			U
8		8			8
پر		پر			پر
محدود		محدود			محدود
کر		کر			کر
دیا		دے			دے
۔		۔			۔
سریش		سریش			سریش
رائنا		رائنا			رائنار
نے		نے			نے
چینائی		چینائی			چینائی
سوپر		سوپر			سوپر
کنگس		کنگس			کنگسگ
کے		کے			کا
لئے		لئے			لئے
59		59			59
رنز		رنز			رنز
بنائے		بنا			بنا
جبکہ		جبکہ			جبکہی
البی		البی			البیببپپپ
مرکل		مرکل			مرکل
نے		نے			نے
3		3			3
وکٹس		وکٹس			وکٹس
حاصل		حاصل			حاصل
کئے		کر			کرئ
۔		۔			۔
کامیابی		کامیابی			کامیابی
کے		کے			کا
لئے		لئے			لئے
166		166			666
رنز		رنز			رنز
کا		کا			کا
تعاقب		تعاقب			تعاقبا
کرتے		کر			کر
ہوئے		ہو			ہو
دفاعی		دفاعی			دفاعیت
چمپئین		چمپئین			چمپئینپپپپ
دکن		دکن			دکن
چارجرس		چارجرس			چارجرس
نے		نے			نے
اچھی		اچھی			اچھی
شروعات		شروعات			شروع
کی		کر			کا
لیکن		لیکن			لیکنی
بعد		بعد			بعد
مےں		مےں			مےں
بیٹسمین		بیٹسمین			بیٹسمینس
ناکام		ناکام			ناکام
ہو		ہو			ہو
گئے		جا			جا
۔		۔			۔
اےک		اےک			اےک
مرحلہ		مرحلہ			مرحلہححح
پر		پر			پر
دکن		دکن			دکن
چارجرس		چارجرس			چارجرس
کا		کا			کا
اسکور		اسکور			اسکور
6.4		6.4			944
اوورس		اوورس			اوورس
مےں		مےں			مےں
بنا		بنا			بنا
کسی		کوئی			کوئییییییییییییییی
نقصان		نقصان			نقصان
سے		سے			سے
71		71			71
رنز		رنز			رنز
ہو		ہو			ہو
گیا		جا			جا
تھا		تھا			تھا
۔		۔			۔
سوہال		سوہال			سوہال
نے		نے			نے
24		24			24
گیندوں		گیند			گیندو
مےں		مےں			مےں
جاریہ		جاریہ			جاریہہ
سیزن		سیزن			سیزن
کی		کا			کا
تیزترین		تیزترین			تیزترین
نصف		نصف			نصف
سنچری		سنچری			سنچری
بنائی		بنا			بنا
لیکن		لیکن			لیکنی
ان		وہ			یہ
کے		کا			کا
آوٹ		آوٹ			آوٹ
ہونے		ہو			ہو
کے		کے			کا
بعد		بعد			بعد
میچ		میچ			میچ
چینائی		چینائی			چینائی
سوپر		سوپر			سوپر
کنگس		کنگس			کنگسگ
کے		کا			کا
حق		حق			حق
مےں		مےں			مےں
چلا		چلا			چل
گیا		جا			جا
۔		۔			۔
قبل_ازیں		قبل_ازیں			قبل_ازی
سریش		سریش			سریش
رائنا		رائنا			رائنار
کی		کا			کا
نصف		نصف			نصف
سنچری		سنچری			سنچری
اور		اور			اور
مرکل		مرکل			مرکل
کی		کا			کا
بہترین		بہترین			بہترین
بالنگ		بالنگ			بالنگ
نے		نے			نے
ٹیم		ٹیم			ٹیم
کی		کا			کا
کامیابی		کامیابی			کامیابی
کو		کو			کو
یقینی		یقینی			یقینیی
بنایا		بنا			بنا
۔		۔			۔
سریش		سریش			سریش
رائنا		رائنا			رائنار
نے		نے			نے
فارم		فارم			فارم
مےں		مےں			مےں
واپس		واپس			واپس
ہوتے		ہو			ہو
ہوئے		ہو			ہو
6		6			6
چوکوں		چوکا			چوک
اور		اور			اور
2		2			2
چھکوں		چھکا			چھک
کی		کا			کا
مدد		مدد			مدد
سے		سے			سے
35		35			35
گیندوں		گیند			گیندو
مےں		مےں			مےں
59		59			59
رنز		رنز			رنز
بنائے		بنا			بنا
جبکہ		جبکہ			جبکہی
مرکل		مرکل			مرکل
نے		نے			نے
3		3			3
وکٹس		وکٹس			وکٹس
حاصل		حاصل			حاصل
کئے		کر			کرئ
۔		۔			۔
اس		یہ			یہ
کے		کے			کا
علاوہ		علاوہ			علاوہ
انہوں		وہ			وہ
نے		نے			نے
چھ		چھ			چھ
گیندوں		گیند			گیندو
مےں		مےں			مےں
تین		تین			تین
چھکوں		چھکا			چھک
کی		کا			کا
مدد		مدد			مدد
سے		سے			سے
19		19			19
رنز		رنز			رنز
بنائے		بنا			بنا
۔		۔			۔
چینائی		چینائی			چینائی
سوپر		سوپر			سوپر
کنگس		کنگس			کنگسگ
نے		نے			نے
آخری		آخری			آخری
پانچ		پانچ			پانچ
اوورس		اوورس			اوورس
مےں		مےں			مےں
69		69			99
رنز		رنز			رنز
بناتے		بنا			بنا
ہوئے		ہو			ہو
اسکور		اسکور			اسکور
کو		کو			کو
165		165			195
تک		تک			تک
پہنچا		پہنچ			پہنچ
دیا		دے			دے
۔		۔			۔
کپتان		کپتان			کپتان
مہیندر		مہیندر			مہیندر
سنگھ		سنگھ			سنگھگگ
دھونی		دھونی			دھونی
نے		نے			نے
21		21			21
رنز		رنز			رنز
بنائے		بنا			بنا
۔		۔			۔
کرشنا		کرشنا			کرشنا
چلڈرنس		چلڈرنس			چلڈرنس
ہاسپٹل		ہاسپٹل			ہاسپٹل
لکڑی		لکڑی			لکڑیککککک
کا		کا			کا
پل		پل			پل
پر		پر			پر
عالمی		عالمی			عالمی
یوم		یوم			یومی
دمہ		دمہ			دمہ_
کے		کا			کا
موقع		موقع			موقع
پر		پر			پر
3		3			3
مئی		مئی			مئی
کو		کو			کو
صبح		صبح			صبح
8		8			8
بجے		بجے			بج
بچوں		بچہ			بچہ
کے		کے			کا
لئے		لئے			لئے
مفت		مفت			مفتفف
دمہ		دمہ			دمہ_
چیک		چیک			چیک
اپ		اپ			اپم
کیمپ		کیمپ			کیمپ
منعقد		منعقد			منعقد
کیا		کر			کر
جائےگا		جا			جا
۔		۔			۔
رجسٹریشن		رجسٹریشن			رجسٹریشن
کے		کے			کا
لئے		لئے			لئے
040		040			040
-		-			-
66838383		66838383			98830000ق000002222
پر		پر			پر
کال		کال			کال
کریں		کر			کر
۔		۔			۔
نریڈمیڈ		نریڈمیڈ			نریڈی
کے		کا			کا
ساکن		ساکن			ساکن
وینکٹیش		وینکٹیش			وینکٹیش
کی		کا			کا
لڑکی		لڑکی			لڑکیی
سجاتا		سجاتا			سجا
6		6			6
ویں		ویں			ویں
جماعت		جماعت			جماعتہ
مےں		مےں			مےں
تعلیم		تعلیم			تعلیمی
حاصل		حاصل			حاصل
کر		کر			کر
رہی		رہ			رہ
تھی		تھا			تھا
جو		جو			جو
کل		کل			کل
شام		شام			شام
اپنے		اپنا			اپنا
مکان		مکان			مکان
مےں		مےں			مےں
کام		کام			کام
کاج		کاج			کاج
کے		کے			کا
دوران		دوران			دوران
برقی		برقی			برقیی
شاک		شاک			شاک
کی		کا			کا
زد		زد			زد
مےں		مےں			مےں
آ		آ			آ
گئی		جا			جا
۔		۔			۔
لڑکی		لڑکی			لڑکیی
کو		کو			کو
فوری		فوری			فوری
طور		طور			طور
پر		پر			پر
قریبی		قریبی			قریبی
ہاسپٹل		ہاسپٹل			ہاسپٹل
سے		سے			سے
رجوع		رجوع			رجوعہ
کیا		کر			کر
گیا		جا			جا
جہاں		جہاں			جہاں
دوران		دوران			دوران
علاج		علاج			علاج
وہ		وہ			وہ
فوت		فوت			فوت
ہو		ہو			ہو
گئی		جا			جا
۔		۔			۔
پولیس		پولیس			پولیس
نریڈ		نریڈ			نریڈی
میٹ		میٹ			میٹ
نے		نے			نے
مقدمہ		مقدمہ			مقدمہددد
درج		درج			درج
کر		کر			کر
لیا		لے			لے
ہے		ہے			ہے
اور		اور			اور
تحقیقات		تحقیق			تحقیق
جاری		جاری			جاری
ہےں		ہے			ہے
۔		۔			۔
سکریٹری		سکریٹری			سکریٹری
پردیش		پردیش			پردیش
کانگریس		کانگریس			کانگریس
کمیٹی		کمیٹی			کمیٹی
مسٹر		مسٹر			مسٹر
سید		سید			سید
یوسف		یوسف			یوسف
ہاشمی		ہاشمی			ہاشمی
نے		نے			نے
صدرنشین		صدرنشین			صدرنشین
ریاستی		ریاستی			ریاستی
حج		حج			حج
کمیٹی		کمیٹی			کمیٹی
سے		سے			سے
ملاقات		ملاقات			ملاقات
کرتے		کر			کر
ہوئے		ہو			ہو
حج		حج			حج
جیسے		جیسے			جیسے
مقدس		مقدس			مقدس
فریضہ		فریضہ			فریضہی
مےں		مےں			مےں
مسلک		مسلک			مسلکلک
کی		کا			کا
بنیاد		بنیاد			بنیاد
پر		پر			پر
کوٹہ		کوٹہ			کوٹہھ
مختص		مختص			مختصت
کرنے		کر			کر
کی		کا			کا
تجویز		تجویز			تجویزہ
پر		پر			پر
سخت		سخت			سختف
اعتراض		اعتراض			اعتراض
کیا		کر			کر
اور		اور			اور
مسلمانوں		مسلمان			مسلمان
کو		کو			کو
تقسیم		تقسیم			تقسیم
کرنے		کر			کر
والا		والا			والا
کوئی		کوئی			کوئیی
بھی		بھی			بھی
اقدام		قدم			اقدام
نہ		نہ			نہ
کرنے		کر			کر
کا		کا			کا
مطالبہ		مطالبہ			مطالبہطبطططط
کیا		کر			کر
۔		۔			۔
سکریٹری		سکریٹری			سکریٹری
پردیش		پردیش			پردیش
کانگریس		کانگریس			کانگریس
کمیٹی		کمیٹی			کمیٹی
نے		نے			نے
آج		آج			آج
حج_ہاؤس		حج_ہاؤس			حجوسسسس
پہنچ		پہنچ			پہنچ
کر		کر			کر
صدر		صدر			صدر
ریاستی		ریاستی			ریاستی
حج		حج			حج
کمیٹی		کمیٹی			کمیٹی
مسٹر		مسٹر			مسٹر
خلیل		خلیل			خلیللل
الدین		الدین			الدین
احمد		احمد			احمد
سے		سے			سے
ملاقات		ملاقات			ملاقات
کی		کر			کا
اور		اور			اور
حالیہ		حالیہ			حالیہہ
شیعہ		شیعہ			شیعہیپپپپ
برادری		برادری			برادری
کے		کا			کا
اجلاس		اجلاس			اجلاس
مےں		مےں			مےں
شیعہ		شیعہ			شیعہیپپپپ
برادری		برادری			برادری
کے		کے			کا
لئے		لئے			لئے
حج		حج			حج
کا		کا			کا
علحدہ		علحدہ			علحدہہ
کوٹہ		کوٹہ			کوٹہھ
مختص		مختص			مختصت
کرنے		کر			کر
کی		کا			کا
تجویز		تجویز			تجویزہ
وصول		وصول			وصول
ہونے		ہو			ہو
پر		پر			پر
سخت		سخت			سختف
اعتراض		اعتراض			اعتراض
کرتے		کر			کر
ہوئے		ہو			ہو
اس		یہ			یہ
کی		کا			کا
مذمت		مذمت			مذمت
کی		کر			کا
اور		اور			اور
اس		یہ			یہ
کو		کو			کو
ہرگز		ہرگز			ہرگزگہ
قبول		قبول			قبول
نہ		نہ			نہ
کرنے		کر			کر
پر		پر			پر
زور		زور			زور
دیا		دے			دے
۔		۔			۔
حج		حج			حج
کمیٹی		کمیٹی			کمیٹی
ہمیشہ		ہمیشہ			ہمیشہ
حج		حج			حج
کا		کا			کا
ارادہ		ارادہ			ارادہہہ
کرنے		کر			کر
والوں		والا			والا
سے		سے			سے
درخواستیں		درخواست			درخواست
وصول		وصول			وصول
کرتی		کر			کر
ہے		ہے			ہے
اور		اور			اور
قرعہ_اندازی		قرعہ_اندازی			قرعہ_اناز
کے		کے			کا
ذریعہ		ذریعہ			ذریعہہہہہہہ
خوش_نصیبوں		خوش_نصیب			خوش_نصبم
کا		کا			کا
انتخاب		انتخاب			انتخاب
ہوتا		ہو			ہو
ہے		ہے			ہے
۔		۔			۔
حج		حج			حج
جیسے		جیسے			جیسے
مقدس		مقدس			مقدس
